project_id,Type,Unit,StartPrice,HighPrice,PricePerArea,Province,project_status,BuiltDate
3687,คอนโดมิเนียม,192,1.74,,0.01,กรุงเทพมหานคร,A,2013-02-20T14:00:01.360Z
8532,ทาวน์โฮม,,7.29,,,กรุงเทพมหานคร,A,2017-04-11T09:02:23.000Z
5778,,,10000,100000,,กรุงเทพมหานคร,U,2015-10-13T14:51:09.797Z
5316,คอนโดมิเนียม,,30000,,,ชลบุรี,U,2015-01-22T13:33:28.980Z
5438,คอนโดมิเนียม,,30000,,,ชลบุรี,U,2015-03-28T16:55:41.147Z
2580,คอนโดมิเนียม,278,88000,,,กรุงเทพมหานคร,U,2011-05-12T11:29:43.107Z
8207,บ้านแฝด,,100000,,,ชลบุรี,A,2017-01-16T16:10:17.237Z
6610,บ้านเดี่ยว,829,150000,800000,,นครราชสีมา,U,2016-09-16T14:26:50.500Z
6612,บ้านเดี่ยว,530,150000,,,นครราชสีมา,U,2016-09-16T16:33:45.380Z
6595,บ้านเดี่ยว,,150000,800000,,นครราชสีมา,U,2016-09-15T11:00:08.483Z
7507,คอนโดมิเนียม,975,150000,,,ภูเก็ต,A,2016-10-26T09:32:41.697Z
6755,บ้านเดี่ยว,,260000,,,นครราชสีมา,U,2016-09-26T08:45:53.953Z
2923,คอนโดมิเนียม,297,300000,,,กรุงเทพมหานคร,U,2011-05-18T18:28:25.373Z
2265,ทาวน์โฮม,14,380000,,,นนทบุรี,U,2011-01-14T17:11:51.723Z
7980,คอนโดมิเนียม,255,399000,,,ปทุมธานี,U,2016-11-21T13:56:17.463Z
8902,ทาวน์โฮม,,459000,,,ลำพูน,A,2017-08-25T09:43:02.607Z
6888,คอนโดมิเนียม,79,490000,,,ชลบุรี,A,2016-09-30T15:17:44.550Z
266,ทาวน์โฮม,,500000,,,นนทบุรี,U,2011-03-14T12:13:17.097Z
7619,คอนโดมิเนียม,582,530000,,17666.67,สงขลา,A,2016-10-31T15:18:57.167Z
7542,คอนโดมิเนียม,1124,580000,,17575.76,สงขลา,A,2016-10-27T10:40:48.253Z
6211,บ้านเดี่ยว,,590000,,,นครราชสีมา,U,2015-12-21T16:27:12.100Z
7514,คอนโดมิเนียม,853,590000,,17878.79,ภูเก็ต,A,2016-10-26T11:35:35.187Z
4854,คอนโดมิเนียม,,599000,,,ปทุมธานี,U,2014-03-18T11:32:28.260Z
98,คอนโดมิเนียม,,600000,3000000,,กรุงเทพมหานคร,U,2010-06-25T00:00:00.000Z
7779,บ้านเดี่ยว,6,600000,,,ลำพูน,A,2016-11-07T10:01:26.970Z
2740,ทาวน์โฮม,,600000,,,สมุทรปราการ,U,2011-05-16T17:08:59.577Z
6845,คอนโดมิเนียม,150,610000,680000,,ชลบุรี,A,2016-09-29T13:12:45.800Z
9322,คอนโดมิเนียม,,619000,,,นครราชสีมา,A,2017-12-26T14:16:44.270Z
8363,คอนโดมิเนียม,,630000,,19687.5,กรุงเทพมหานคร,A,2017-02-21T15:01:11.183Z
8373,คอนโดมิเนียม,1612,630000,,19687.5,กรุงเทพมหานคร,A,2017-02-24T10:29:09.783Z
1774,คอนโดมิเนียม,,640000,,,ปทุมธานี,U,2011-04-07T10:46:29.037Z
4690,คอนโดมิเนียม,657,669000,,669000,กรุงเทพมหานคร,U,2014-01-29T16:35:08.270Z
4759,บ้านเดี่ยว,42,670000,,,เชียงใหม่,A,2014-02-20T10:40:39.127Z
8049,คอนโดมิเนียม,1170,679000,1390000,30177.78,กรุงเทพมหานคร,A,2016-11-24T15:32:28.550Z
8056,คอนโดมิเนียม,2472,686000,,29191.49,กรุงเทพมหานคร,A,2016-11-25T10:04:08.283Z
7496,คอนโดมิเนียม,503,690000,990000,32857.14,ชลบุรี,A,2016-10-25T15:16:39.903Z
7498,บ้านเดี่ยว,,690000,,,ระยอง,A,2016-10-25T15:37:08.410Z
8557,คอนโดมิเนียม,,690000,,,ระยอง,A,2017-04-21T13:57:19.123Z
